timestamp,cpu,memory,disk
1768743939.4403882,7.6,75.9,11.9
1768743942.4522681,10.5,76.3,11.9
1768743945.463889,2.4,75.8,11.9
1768743948.475175,4.5,75.9,11.9
1768743951.482047,2.4,75.8,11.9
1768743954.493244,0.6,76.0,11.9
1768743957.502079,1.1,75.9,11.9
1768743960.513515,1.2,76.0,11.9
1768743963.524081,1.7,75.9,11.9
1768743966.535501,2.0,75.9,11.9
1768743969.5467799,1.7,75.9,11.9
1768743972.557421,0.7,76.0,11.9
1768743975.56866,0.9,75.8,11.9
1768743978.5791569,2.0,75.9,11.9
1768743981.590579,1.5,75.9,11.9
1768743984.601994,1.1,75.9,11.9
1768743987.61342,1.9,75.8,11.9
1768743990.624758,1.5,75.8,11.9
1768743993.6354449,0.9,75.8,11.9
1768743996.646954,2.4,75.8,11.9
1768743999.654183,1.4,74.8,11.9
1768744002.66136,0.4,74.9,11.9
1768744005.672801,2.0,75.0,11.9
1768744008.68176,3.0,75.6,11.9
1768744011.6930509,1.5,75.4,11.9
1768744014.6957262,1.0,75.6,11.9
1768744017.707072,0.9,75.6,11.9
1768744020.71421,1.2,75.6,11.9
1768744023.7246609,1.0,75.6,11.9
1768744026.731424,1.1,75.6,11.9
1768744029.742124,1.7,75.5,11.9
1768744032.753288,0.9,75.5,11.9
1768744035.760629,2.9,75.0,11.9
1768744038.7713122,0.7,75.3,11.9
1768744041.78245,1.0,75.0,11.9
1768744044.7937899,2.6,75.1,11.9
1768744047.805197,1.6,75.0,11.9
1768744050.816183,1.7,75.0,11.9
1768744053.826873,0.9,75.1,11.9
1768744056.8380458,0.4,75.2,11.9
1768744059.849345,1.1,75.2,11.9
1768744062.8576782,0.5,75.1,11.9
1768744065.8688178,3.6,75.0,11.9
1768744068.8761642,7.6,75.1,11.9
1768744071.8869262,2.0,75.2,11.9
1768744074.8982432,0.7,75.2,11.9
1768744077.909603,0.9,75.0,11.9
1768744080.920813,2.7,75.0,11.9
1768744083.9317708,0.6,74.9,11.9
1768744086.9431648,1.1,75.0,11.9
1768744089.954433,2.4,75.0,11.9
1768744092.965922,1.0,75.0,11.9
1768744095.9760032,2.0,74.9,11.9
1768744098.987422,0.9,74.9,11.9
1768744101.998806,0.7,74.9,11.9
1768744105.0075688,1.0,74.9,11.9
1768744108.018883,11.0,75.3,11.9
1768744111.030438,6.7,75.0,11.9
1768744114.038047,1.2,74.8,11.9
1768744117.049464,2.2,74.7,11.9
1768744120.057929,1.9,74.7,11.9
1768744123.069023,1.0,74.7,11.9
1768744126.0800729,17.8,75.4,11.9
1768744129.0879612,11.5,75.1,11.9
1768744132.0988228,15.1,75.3,11.9
1768744135.1098151,3.0,75.0,11.9
1768744138.1168482,11.2,75.3,11.9
1768744141.125522,3.9,75.1,11.9
1768744144.134995,1.7,74.5,11.9
1768744147.1463501,1.4,74.2,11.9
1768744150.156746,0.6,74.4,11.9
1768744153.163615,3.5,74.4,11.9
1768744156.174876,2.5,74.3,11.9
1768744159.1851048,1.5,74.4,11.9
1768744162.196595,0.6,74.4,11.9
1768744165.207725,0.9,74.3,11.9
1768744168.2191958,1.5,74.3,11.9
1768744171.2304618,2.7,74.2,11.9
1768744174.240382,2.1,74.4,11.9
1768744177.251284,3.2,74.3,11.9
1768744180.262581,2.6,74.4,11.9
1768744183.272869,3.5,74.4,11.9
1768744186.284321,2.0,74.5,11.9
1768744189.291517,0.9,74.6,11.9
1768744192.302678,8.2,74.6,11.9
1768744195.313867,1.5,74.7,11.9
1768744198.320877,1.9,74.6,11.9
1768744201.3271391,1.6,74.5,11.9
1768744204.338457,1.6,74.6,11.9
1768744207.3461351,3.9,74.6,11.9
1768744210.357467,7.5,74.7,11.9
1768744213.3689191,1.4,74.7,11.9
1768744216.380317,1.5,74.6,11.9
1768744219.391705,1.2,74.8,11.9
1768744222.397846,1.5,74.8,11.9
1768744225.407012,0.5,74.7,11.9
1768744228.4163682,1.2,74.8,11.9
1768744231.427553,2.0,74.8,11.9
1768744234.438893,8.2,74.7,11.9
1768744237.4503858,0.9,74.8,11.9
1768744240.4615989,1.6,74.9,11.9
1768744243.472673,1.4,74.8,11.9
1768744246.482183,6.1,75.1,11.9
1768744249.4901388,11.0,75.2,11.9
1768744252.501546,1.7,74.9,11.9
1768744255.512903,0.4,75.1,11.9
1768744258.523795,1.5,75.2,11.9
1768744261.53515,3.1,75.1,11.9
1768744264.5465002,0.5,75.0,11.9
1768744267.556584,2.9,75.2,11.9
1768744270.563141,5.1,75.3,11.9
1768744273.573792,1.0,75.4,11.9
1768744276.585216,2.4,75.2,11.9
1768744279.596643,1.9,75.3,11.9
1768744282.607098,1.5,75.4,11.9
1768744285.618492,0.7,75.4,11.9
1768744288.629942,0.7,75.3,11.9
1768744291.640329,2.0,75.3,11.9
1768744294.6517189,1.1,75.4,11.9
1768744297.660993,0.7,75.3,11.9
1768744300.6693099,1.6,75.3,11.9
1768744303.680746,1.9,75.4,11.9
1768744306.6914392,1.5,75.2,11.9
1768744309.7038321,1.7,75.1,11.9
1768744312.7140899,1.1,75.1,11.9
1768744315.725552,1.0,75.1,11.9
1768744318.733502,1.0,75.0,11.9
1768744321.744878,3.0,74.9,11.9
1768746731.82466,13.0,81.0,12.0
1768746734.836027,17.7,81.8,12.0
1768746737.8434482,13.1,80.7,12.0
1768746740.8536909,10.1,80.8,12.0
1768746743.863969,33.9,83.0,12.0
1768746746.8718379,16.1,81.5,12.0
1768746749.878487,14.5,81.2,12.0
1768746752.8897831,13.5,81.4,12.0
1768746755.898081,15.1,82.0,12.0
1768746758.906373,13.0,82.0,12.0
1768746761.91694,14.2,81.5,12.0
1768746764.9274418,11.7,81.9,12.0
1768746767.9381702,11.6,81.8,12.0
1768746770.946383,20.8,82.3,12.0
1768746773.9572911,9.6,82.2,12.0
1768746776.967902,11.0,81.9,12.0
1768746779.977248,14.3,82.1,12.0
1768746782.987705,12.5,81.9,12.0
1768746785.9982772,11.6,81.0,12.0
1768746789.026359,15.5,81.0,12.0
1768746792.0350258,14.6,81.3,12.0
1768746795.043863,19.0,81.3,12.0
1768746798.0495749,17.5,81.4,12.0
1768746801.0566,23.9,81.4,12.0
1768746804.06572,19.0,81.3,12.0
1768746807.072824,17.5,81.6,12.0
1768746810.083164,18.9,81.5,12.0
1768746813.0938501,22.8,83.2,12.0
1768746816.104216,13.9,82.6,12.0
1768746819.113516,13.1,82.4,12.0
1768746822.124741,16.7,82.8,12.0
1768746825.1353579,15.0,82.6,12.0
1768746828.142358,21.1,82.4,12.0
1768746831.151391,14.8,82.4,12.0
1768746834.1603642,15.6,82.3,12.0
1768746837.1707,15.4,82.3,12.0
1768746840.1810281,20.8,82.3,12.0
1768746843.191486,21.2,81.5,12.0
1768746846.2015061,18.3,81.4,12.0
1768746849.2103648,15.0,81.5,12.0
1768746852.211628,32.3,84.2,12.0
1768746855.22277,14.0,82.7,12.0
1768746858.233133,26.9,81.8,12.0
1768746861.241994,15.2,82.0,12.0
1768746864.248877,10.9,81.9,12.0
1768746867.260247,11.5,81.8,12.0
1768746870.2692878,27.7,82.2,12.0
1768746873.278913,11.6,82.1,12.0
1768746876.289367,29.8,83.2,12.0
1768746879.300098,19.6,82.8,12.0
1768746882.310721,9.2,82.2,12.0
1768746885.321549,14.6,82.3,12.0
1768746888.332337,22.0,84.1,12.0
1768746891.342701,14.4,81.9,12.0
1768746894.353009,11.9,81.8,12.0
1768746897.363494,25.3,82.5,12.0
1768746900.373908,20.8,82.0,12.0
1768746903.3819678,17.9,81.8,12.0
1768746906.392724,18.3,81.9,12.0
1768746909.399103,23.6,83.2,12.0
1768746912.4102662,17.0,82.2,12.0
1768746915.420584,19.6,82.2,12.0
1768746918.431178,21.8,83.3,12.0
1768746921.4425201,24.3,83.2,12.0
1768746924.453085,19.6,82.4,12.0
1768746927.4607291,14.8,82.3,12.0
1768746930.47069,45.5,82.8,12.0
1768746933.476772,40.1,83.3,12.0
1768746936.483128,30.5,84.2,12.0
1768746939.493641,15.6,83.3,12.0
1768746942.504659,16.1,83.1,12.0
1768746945.5110369,9.2,82.7,12.0
1768746948.5215979,17.0,83.7,12.0
1768746951.531926,13.2,83.0,12.0
1768746954.542324,14.1,83.0,12.0
1768746957.551737,16.6,82.6,12.0
1768746960.5609338,18.3,82.4,12.0
1768746963.571885,23.8,82.8,12.0
1768746966.582368,16.6,82.0,12.0
1768746969.588921,18.9,82.0,12.0
1768746972.599214,19.3,81.9,12.0
1768746975.609513,23.3,81.6,12.0
1768746978.620182,23.2,81.3,12.0
1768746981.626762,16.2,81.5,12.0
1768746984.6375182,12.7,81.8,12.0
1768746987.6482072,15.0,81.6,12.0
1768746990.658504,14.1,81.4,12.0
1768746993.6697412,11.8,81.4,12.0
1768746996.676717,10.7,81.4,12.0
1768746999.683882,23.8,81.9,12.0
1768747002.694125,20.7,81.6,12.0
1768747005.704417,23.2,81.8,12.0
1768747008.714873,24.9,82.2,12.0
1768747011.722632,24.2,82.2,12.0
1768747014.732199,23.5,81.7,12.0
1768747017.743934,19.9,82.6,12.0
1768747020.755326,12.7,82.1,12.0
1768747023.764729,14.1,82.3,12.0
1768747026.775029,17.4,82.3,12.0
1768747029.7816,19.6,81.5,12.0
1768747032.792289,17.7,81.4,12.0
1768747035.799196,14.1,81.3,12.0
1768747038.809504,10.0,81.1,12.0
1768747041.820124,9.6,80.7,12.0
1768747044.8264,17.6,81.2,12.0
1768747047.834521,8.2,81.2,12.0
1768747050.843554,5.0,80.4,12.0
1768747053.850276,11.2,81.0,12.0
1768747056.8611588,5.9,80.6,12.0
1768747059.8725498,8.4,81.0,12.0
1768747062.878299,11.7,80.6,12.0
1768747065.888745,8.7,80.4,12.0
1768747068.897106,19.6,80.2,12.0
1768747071.906086,7.0,80.5,12.0
1768747074.912807,9.0,80.4,12.0
1768747077.9260008,10.5,81.4,12.0
1768747080.939522,12.6,81.0,12.0
1768747083.95037,6.5,80.8,12.0
1768747086.95876,7.6,80.9,12.0
1768747089.96546,12.7,82.3,12.0
1768747092.9768279,8.1,82.0,12.0
1768747095.984546,9.5,82.0,12.0
1768747098.993099,8.5,81.6,12.0
1768747102.002899,7.5,81.7,12.0
1768747105.013162,8.2,81.1,12.0
1768747108.023613,11.8,81.1,12.0
1768747111.0342999,20.6,82.4,12.0
1768747114.047169,12.3,81.1,12.0
1768747117.055088,13.8,81.4,12.0
1768747120.0634859,32.3,83.5,12.0
1768747123.0738292,17.6,82.1,12.0
1768747126.0790431,22.3,82.5,12.0
1768747129.0897,15.1,82.0,12.0
1768747132.097734,13.9,81.9,12.0
1768747135.108577,10.4,81.7,12.0
1768747138.111957,13.3,81.5,12.0
1768747141.1210072,27.7,83.2,12.0
1768747144.131237,12.4,81.5,12.0
1768747147.1394198,5.6,81.2,12.0
1768747150.148057,6.1,81.2,12.0
1768747153.158499,5.5,81.2,12.0
1768747156.165923,4.0,81.7,12.0
1768747159.173627,13.4,81.3,12.0
1768747162.185028,14.9,81.4,12.0
1768747165.192255,14.4,81.5,12.0
1768747168.2045991,28.1,82.3,12.0
1768747171.210697,32.6,83.5,12.0
1768747174.221718,11.1,81.5,12.1
1768747177.2332811,3.7,81.1,12.1
1768747180.2424462,24.3,81.0,12.1
1768747183.251609,23.6,80.3,12.1
1768747186.261046,22.5,80.8,12.1
1768747189.2716422,54.0,81.8,12.1
1768747192.2827652,13.7,81.8,12.1
1768747195.29485,10.1,81.7,12.1
1768747198.306129,10.7,81.6,12.1
1768747201.314296,18.3,81.8,12.1
1768747204.324568,1.5,81.3,12.1
1768747207.3331351,1.9,75.1,12.1
1768747210.3405719,3.3,75.2,12.1
1768747213.346559,2.6,75.4,12.1
1768747216.357742,2.1,75.4,12.1
1768747219.3691342,2.1,75.5,12.1
1768747222.380495,8.1,76.3,12.1
1768747225.3915179,2.6,76.1,12.1
1768747228.40289,1.1,76.0,12.1
1768747231.4143429,3.1,76.0,12.1
1768747234.423286,7.0,76.0,12.1
1768747237.4346728,9.2,77.3,12.1
1768747240.447777,8.9,76.9,12.1
1768747243.4579232,8.8,77.1,12.1
1768747246.466196,8.8,76.7,12.1
1768747249.475522,9.2,77.2,12.1
1768747252.4846861,8.2,76.9,12.1
1768747255.4945788,9.3,76.6,12.1
1768747258.50609,10.1,76.8,12.1
1768747261.516046,9.8,76.7,12.1
1768747264.525328,12.4,77.3,12.1
1768747267.5338,10.1,77.2,12.1
